StarID,BayerFlamsteed,ProperName,Distance,Mag,X,Y,Z
0,,Sol,0.000004848,-26.73,0,0,0
70667,,Proxima Centauri,1.294783318,11.01,-0.47175,-0.36132,-1.15037
71457,Alp1Cen,Rigel Kentaurus A,1.3474909718,-0.01,-0.50362,-0.42139,-1.17665
71454,Alp2Cen,Rigel Kentaurus B,1.3474909718,1.35,-0.50359,-0.42128,-1.1767
87666,,Barnard's Star,1.821460447,9.54,-0.01729,-1.81533,0.14824
53879,,Lalande 21185,2.5484199796,7.49,-1.9995,0.50462,1.49725
32263,9Alp CMa,Sirius,2.6370612589,-1.44,-0.49439,2.4768,-0.75836
113688,,Lacaille 9352,3.290556104,7.35,2.59268,-0.625,-1.92745
37173,10Alp CMi,Procyon,3.4973594936,0.4,-1.46237,3.16092,0.31864
36107,,Luyten's Star,3.7985261718,9.84,-1.40787,3.51092,0.34656
24129,,Kapteyn's Star,3.917574238,8.86,0.58078,2.70835,-2.77036
104752,,Lacaille 8760,3.9467971741,6.69,2.33065,-2.00299,-2.47654
110548,,Kruger 60,4.007694774,9.59,1.97146,-0.83676,3.38744
3820,,Van Maanen's Star,4.4062568848,12.37,4.28623,0.93362,0.41429
49767,,Groombridge 1618,4.8728194133,6.6,-2.81844,1.44553,3.70285
97339,53Alp Aql,Altair,5.1429746966,0.76,2.36166,-4.49935,0.79277
72958,,33 G. Lib,5.9059768486,5.72,-3.93085,-3.84453,-2.15603
15471,,82 G. Eri,6.0598715307,4.26,2.84712,3.38968,-4.13835
12082,,268 G. Cet,7.2087658593,5.79,5.56062,4.50547,0.86396
3759,,96 G. Psc,7.4604595643,5.74,7.26388,1.55643,0.68697
